n_acces,diametro_de_fruto_promedio_mm,peso_100_semillas,n_flores_axila,peso_10_frutos_gr,altura_promedio_planta,longitud_fruto_promedio_mm,color_de_corola,tipo_epidermis_fruto,forma_fruto,posicion_de_la_flor,forma_de_corola_flor
10,20,0.346,1,69.4,40.76666667,37.33333333,4,2,2,5,9
11,9.5,0.233333333,2,6.733333333,33.73333333,10.73333333,4,2,2,5,1
18,24.9,0.409333333,1.333333333,122.4,38.3,51.03333333,4,2,2,5,1
41,16.26666667,0.41,1.666666667,28,43.83333333,47.13333333,4,2,2,5,9
43,999,0.407333333,2,35.53333333,42.7,55.3,4,2,2,5,1
50,999,0.368,2,104.0666667,55.6,51.83333333,4,2,2,5,1
51,21.86666667,0.399666667,2,85.8,50.56666667,57.2,9,2,2,5,1
54,999,0.437666667,2,79.4,56.63333333,55.03333333,4,2,2,5,9
67,14.93333333,0.458333333,1.666666667,30.4,62.66666667,999,4,2,2,5,1
68,14.73333333,0.320666667,2,21.26666667,56.66666667,21.86666667,4,9,2,5,1
85,19.16666667,0.467666667,1.333333333,41.8,999,27.33333333,4,2,2,5,1
147,26.5,999,1,73.46666667,51.93333333,23.5,1,2,2,5,1
149,22.36666667,999,1,55.8,999,999,1,2,2,5,1
167,21.7,0.518333333,1,999,63.43333333,36.86666667,1,2,2,5,9
175,18.33333333,0.624666667,1,999,58.63333333,82.16666667,1,9,2,5,1
179,11.76666667,0.456,1,999,999,68.1,1,2,2,5,1
181,20.03333333,0.571666667,1,999,62.8,35.76666667,9,2,2,5,1
205,33.03333333,0.481333333,1.333333333,999,59.13333333,63.76666667,1,2,2,5,1
212,11.33333333,0.325333333,2,999,40.6,19.7,1,2,2,5,1
215,11.06666667,0.387666667,2,22.13333333,49.63333333,44.03333333,1,2,2,5,1
216,4.9,0.380333333,2,5.066666667,65.4,999,1,2,2,5,2
221,11.76666667,0.281666667,2,13.46666667,63.06666667,18.33333333,1,2,2,6,2
224,17.73333333,0.487,2.333333333,36.66666667,51,48.1,9,9,2,6,2
225,13.13333333,0.328,2,12.86666667,999,12.83333333,1,1,2,6,2
233,28.03333333,0.341333333,2.666666667,86.73333333,999,999,1,1,2,6,2
239,10.33333333,999,1.333333333,22.86666667,999,38.23333333,1,1,3,6,2
242,4.4,999,1.333333333,5.666666667,71.6,25.33333333,1,1,3,6,9
246,999,999,2,33.93333333,46.53333333,42.2,1,1,3,6,2
250,999,0.359333333,2,41.73333333,58.53333333,48.03333333,1,1,3,6,2
252,999,0.378,1.333333333,32.26666667,51.26666667,20.56666667,1,1,3,6,2
268,10.6,0.357666667,1.666666667,12.4,59.4,42.63333333,4,1,3,6,2
275,18.8,0.406666667,2,102.9333333,58.9,82.93333333,4,1,3,6,3
298,11.1,0.308,2,6.8,56.43333333,11,4,1,3,6,3
301,15.33333333,0.325333333,2,17.13333333,48.03333333,31.46666667,4,1,3,7,3
340,12.66666667,0.431333333,1,999,53.26666667,43.93333333,4,1,3,7,3
347,21.46666667,0.574666667,1,999,66.13333333,97.06666667,4,1,3,7,3
363,27.26666667,0.68,1,999,64.06666667,48.16666667,4,1,3,7,3
406,22.46666667,0.321666667,1.333333333,28.53333333,54.53333333,16.63333333,4,1,3,7,3
407,22.13333333,0.462666667,1.333333333,53.73333333,54,29.26666667,4,1,3,7,3
